nutrient,source,source_code,source_is_african,total_value_usd,total_qty_kg,n_importers
NPK / DAP / MAP compound (N+P+K),Morocco,504,True,1145932796.4850001,1636961726.3040001,25
NPK / DAP / MAP compound (N+P+K),Saudi Arabia,682,False,278084400.977,451458300.829,13
NPK / DAP / MAP compound (N+P+K),Russian Federation,643,False,267712136.794,504659494.176,17
NPK / DAP / MAP compound (N+P+K),China,156,False,179496649.006,209752280.93400002,33
NPK / DAP / MAP compound (N+P+K),South Africa,710,True,161122525.85799998,197619191.461,26
NPK / DAP / MAP compound (N+P+K),Spain,724,False,90089013.23,66456472.535000004,34
NPK / DAP / MAP compound (N+P+K),United Arab Emirates,784,False,75842960.888,89441582.35,14
NPK / DAP / MAP compound (N+P+K),Mauritius,480,True,72507271.34899999,84828475.28,6
NPK / DAP / MAP compound (N+P+K),Jordan,400,False,67554385.476,64391777.967,8
NPK / DAP / MAP compound (N+P+K),Senegal,686,True,56583193.918000005,41570104.0,5
NPK / DAP / MAP compound (N+P+K),Côte d'Ivoire,384,True,44108184.002000004,127064822.0,6
NPK / DAP / MAP compound (N+P+K),Belgium,56,False,41412883.908,56108130.735,23
NPK / DAP / MAP compound (N+P+K),Mozambique,508,True,37315375.198,48891791.9,5
NPK / DAP / MAP compound (N+P+K),Finland,246,False,35663746.4,48561363.723,12
NPK / DAP / MAP compound (N+P+K),Norway,579,False,29485309.125,37193215.743,13
NPK / DAP / MAP compound (N+P+K),Mali,466,True,28568240.643,49249100.0,1
NPK / DAP / MAP compound (N+P+K),Zambia,894,True,26001289.531999998,46183855.9,8
NPK / DAP / MAP compound (N+P+K),Switzerland,757,False,25088343.092,49783135.658,10
NPK / DAP / MAP compound (N+P+K),Viet Nam,704,False,24299129.908,29434315.6,12
NPK / DAP / MAP compound (N+P+K),Italy,380,False,18396712.614,23983371.264,20
NPK / DAP / MAP compound (N+P+K),Türkiye,792,False,18269770.981,18309336.447,21
NPK / DAP / MAP compound (N+P+K),USA,842,False,17718803.442,9723778.052000001,22
NPK / DAP / MAP compound (N+P+K),Egypt,818,True,17253794.359,21401261.5,14
NPK / DAP / MAP compound (N+P+K),Germany,276,False,16298948.899,12341172.866,23
NPK / DAP / MAP compound (N+P+K),Mauritania,478,True,15603078.603,17626000.0,2
NPK / DAP / MAP compound (N+P+K),United Rep. of Tanzania,834,True,14277107.661,24656120.865000002,7
NPK / DAP / MAP compound (N+P+K),India,699,False,13444443.415,16330727.654,27
NPK / DAP / MAP compound (N+P+K),Israel,376,False,12564085.117,7906292.36,12
NPK / DAP / MAP compound (N+P+K),Netherlands,528,False,12447501.245,11654083.597,26
NPK / DAP / MAP compound (N+P+K),Chile,152,False,12232201.895,12546725.945999999,9
NPK / DAP / MAP compound (N+P+K),Latvia,428,False,11429451.276,18113424.0,2
NPK / DAP / MAP compound (N+P+K),Kenya,404,True,10434805.59,25787637.007,10
NPK / DAP / MAP compound (N+P+K),United Kingdom,826,False,10200924.173,5986031.169,18
NPK / DAP / MAP compound (N+P+K),Qatar,634,False,9873250.302,15004850.0,4
NPK / DAP / MAP compound (N+P+K),France,251,False,7666007.617,4555317.827,24
NPK / DAP / MAP compound (N+P+K),"Areas, nes",899,False,7359769.657000001,8550311.127,6
NPK / DAP / MAP compound (N+P+K),Ghana,288,True,6071680.291,36862444.0,6
NPK / DAP / MAP compound (N+P+K),Malawi,454,True,6069441.756999999,7842000.94,2
NPK / DAP / MAP compound (N+P+K),Lithuania,440,False,4946450.681,7549298.731,10
NPK / DAP / MAP compound (N+P+K),Malaysia,458,False,4203256.902,6176455.658000001,10
NPK / DAP / MAP compound (N+P+K),Portugal,620,False,3849971.1950000003,2759437.052,10
NPK / DAP / MAP compound (N+P+K),Nigeria,566,True,2981678.014,12949715.5,8
NPK / DAP / MAP compound (N+P+K),Greece,300,False,1758782.798,1318892.06,6
NPK / DAP / MAP compound (N+P+K),Czechia,203,False,1626859.011,1145017.1800000002,5
NPK / DAP / MAP compound (N+P+K),Oman,512,False,1029563.064,917458.0,2
NPK / DAP / MAP compound (N+P+K),Mexico,484,False,939194.31,140961.22999999998,8
NPK / DAP / MAP compound (N+P+K),Australia,36,False,885754.638,626226.717,5
NPK / DAP / MAP compound (N+P+K),Slovakia,703,False,845553.11,908239.0,3
NPK / DAP / MAP compound (N+P+K),Tunisia,788,True,668969.5549999999,577098.537,5
NPK / DAP / MAP compound (N+P+K),Afghanistan,4,False,668647.144,1031200.0,3
NPK / DAP / MAP compound (N+P+K),Angola,24,True,617940.105,3998978.0,2
NPK / DAP / MAP compound (N+P+K),Uganda,800,True,505261.13,664620.0,2
NPK / DAP / MAP compound (N+P+K),Thailand,764,False,462349.319,63350.3,8
NPK / DAP / MAP compound (N+P+K),Luxembourg,442,False,447461.45999999996,415956.0,3
NPK / DAP / MAP compound (N+P+K),Rep. of Korea,410,False,407697.493,520078.058,6
NPK / DAP / MAP compound (N+P+K),Argentina,32,False,388040.78599999996,106550.95,8
NPK / DAP / MAP compound (N+P+K),Brazil,76,False,379193.471,240185.566,6
NPK / DAP / MAP compound (N+P+K),Botswana,72,True,306230.607,391081.0,3
NPK / DAP / MAP compound (N+P+K),Zimbabwe,716,True,275745.06799999997,1116180.0,2
NPK / DAP / MAP compound (N+P+K),Georgia,268,False,269102.034,312000.0,1
NPK / DAP / MAP compound (N+P+K),Comoros,174,True,255397.203,127670.13,1
NPK / DAP / MAP compound (N+P+K),Namibia,516,True,231595.13700000002,84479.0,3
NPK / DAP / MAP compound (N+P+K),"China, Hong Kong SAR",344,False,221917.71600000001,166000.0,2
NPK / DAP / MAP compound (N+P+K),Canada,124,False,195783.58000000002,32422.75,3
NPK / DAP / MAP compound (N+P+K),Colombia,170,False,195586.337,96480.0,2
NPK / DAP / MAP compound (N+P+K),Serbia,688,False,188347.803,336000.0,1
NPK / DAP / MAP compound (N+P+K),Indonesia,360,False,185907.927,212021.604,4
NPK / DAP / MAP compound (N+P+K),Bermuda,60,False,159617.91700000002,184000.0,2
NPK / DAP / MAP compound (N+P+K),"Other Asia, nes",490,False,142798.446,150000.0,3
NPK / DAP / MAP compound (N+P+K),Togo,768,True,104091.793,330394.0,3
NPK / DAP / MAP compound (N+P+K),Sweden,752,False,97555.217,17500.0,1
NPK / DAP / MAP compound (N+P+K),Ukraine,804,False,91361.001,46185.896,5
NPK / DAP / MAP compound (N+P+K),Singapore,702,False,89271.035,90388.014,3
NPK / DAP / MAP compound (N+P+K),New Zealand,554,False,77982.408,22393.0,3
NPK / DAP / MAP compound (N+P+K),Guatemala,320,False,70076.746,456.0,2
NPK / DAP / MAP compound (N+P+K),Bulgaria,100,False,62109.757,30697.805,3
NPK / DAP / MAP compound (N+P+K),Poland,616,False,44321.781,31145.18,5
NPK / DAP / MAP compound (N+P+K),Cyprus,196,False,43529.402,34935.674,1
NPK / DAP / MAP compound (N+P+K),Lebanon,422,False,40389.081,44181.7,1
NPK / DAP / MAP compound (N+P+K),Burkina Faso,854,True,31097.724,131000.0,3
NPK / DAP / MAP compound (N+P+K),Djibouti,262,True,30000.0,100000.0,1
NPK / DAP / MAP compound (N+P+K),Benin,204,True,28927.775,122050.0,2
NPK / DAP / MAP compound (N+P+K),Cameroon,120,True,28829.932,77756.5,5
NPK / DAP / MAP compound (N+P+K),Eswatini,748,True,27779.47,54259.1,1
NPK / DAP / MAP compound (N+P+K),Antigua and Barbuda,28,False,27216.351,39500.0,2
NPK / DAP / MAP compound (N+P+K),Rwanda,646,True,22023.39,24630.0,2
NPK / DAP / MAP compound (N+P+K),Andorra,20,False,18556.01,958.0,1
NPK / DAP / MAP compound (N+P+K),Madagascar,450,True,18131.094,24000.0,1
NPK / DAP / MAP compound (N+P+K),Ireland,372,False,18090.063,9043.015,1
NPK / DAP / MAP compound (N+P+K),Hungary,348,False,16822.908,8800.0,1
NPK / DAP / MAP compound (N+P+K),Japan,392,False,12518.595,3239.284,7
NPK / DAP / MAP compound (N+P+K),Denmark,208,False,9177.012,4800.0,1
NPK / DAP / MAP compound (N+P+K),Austria,40,False,7039.08,215.0,1
NPK / DAP / MAP compound (N+P+K),State of Palestine,275,False,4655.678,12019.0,1
NPK / DAP / MAP compound (N+P+K),Romania,642,False,4605.67,295.0,1
NPK / DAP / MAP compound (N+P+K),Philippines,608,False,2915.197,114.0,1
NPK / DAP / MAP compound (N+P+K),Gabon,266,True,2829.38,5250.0,1
NPK / DAP / MAP compound (N+P+K),Kuwait,414,False,2673.873,1000.0,1
NPK / DAP / MAP compound (N+P+K),Kyrgyzstan,417,False,1576.481,77.0,1
NPK / DAP / MAP compound (N+P+K),Congo,178,True,1149.26,8972.0,2
NPK / DAP / MAP compound (N+P+K),"Other Europe, nes",568,False,486.643,32.0,1
NPK / DAP / MAP compound (N+P+K),Armenia,51,False,240.793,16.6,1
NPK / DAP / MAP compound (N+P+K),Equatorial Guinea,226,True,232.702,5000.0,1
NPK / DAP / MAP compound (N+P+K),Albania,8,False,54.686,2.0,1
NPK / DAP / MAP compound (N+P+K),Barbados,52,False,41.554,19.0,1
NPK / DAP / MAP compound (N+P+K),Peru,604,False,19.324,32.0,1
NPK / DAP / MAP compound (N+P+K),Dem. People's Rep. of Korea,408,False,4.035,12.0,1
NPK / DAP / MAP compound (N+P+K),Slovenia,705,False,1.138,0.4,1
Phosphatic fertilisers (P),USA,842,False,67638356.639,214844254.789,5
Phosphatic fertilisers (P),Morocco,504,True,39008826.679,78467969.0,7
Phosphatic fertilisers (P),United Rep. of Tanzania,834,True,26386203.592,57428421.945,3
Phosphatic fertilisers (P),Saudi Arabia,682,False,16894868.724,36330375.465,2
Phosphatic fertilisers (P),Russian Federation,643,False,11152882.651,24131282.768,1
Phosphatic fertilisers (P),Spain,724,False,6229254.086,285654.515,6
Phosphatic fertilisers (P),Israel,376,False,5198771.251,11690420.0,1
Phosphatic fertilisers (P),Oman,512,False,3185260.08,6891887.424,1
Phosphatic fertilisers (P),Senegal,686,True,2750889.207,16569700.0,2
Phosphatic fertilisers (P),Jordan,400,False,2746644.956,5910729.085999999,3
Phosphatic fertilisers (P),South Africa,710,True,2358353.954,3859908.0,10
Phosphatic fertilisers (P),Egypt,818,True,2020168.9170000001,6229284.0,5
Phosphatic fertilisers (P),Qatar,634,False,1775308.075,3841200.745,1
Phosphatic fertilisers (P),Malaysia,458,False,1210059.0,1275003.0,2
Phosphatic fertilisers (P),China,156,False,795206.663,1961678.135,9
Phosphatic fertilisers (P),Türkiye,792,False,741943.984,899360.0,3
Phosphatic fertilisers (P),Finland,246,False,737956.475,984000.0,1
Phosphatic fertilisers (P),Portugal,620,False,587211.6719999999,971367.0,4
Phosphatic fertilisers (P),Mozambique,508,True,557767.921,545000.0,1
Phosphatic fertilisers (P),India,699,False,535774.52,744782.13,7
Phosphatic fertilisers (P),United Arab Emirates,784,False,357599.64599999995,350130.0,2
Phosphatic fertilisers (P),Kenya,404,True,346944.13999999996,490390.0,3
Phosphatic fertilisers (P),Netherlands,528,False,259244.236,42364.0,2
Phosphatic fertilisers (P),Germany,276,False,254200.061,202444.0,2
Phosphatic fertilisers (P),Viet Nam,704,False,187900.16,300520.0,1
Phosphatic fertilisers (P),Mexico,484,False,178768.994,292382.0,1
Phosphatic fertilisers (P),Rep. of Korea,410,False,146401.033,330000.0,1
Phosphatic fertilisers (P),Bulgaria,100,False,95072.271,100320.0,1
Phosphatic fertilisers (P),France,251,False,76797.159,44673.5,4
Phosphatic fertilisers (P),Belgium,56,False,32962.128,27500.0,1
Phosphatic fertilisers (P),Belarus,112,False,20419.197,47000.0,1
Phosphatic fertilisers (P),Nigeria,566,True,13793.111,84000.0,2
Phosphatic fertilisers (P),Italy,380,False,6973.419,4050.0,1
Phosphatic fertilisers (P),Mali,466,True,3856.099,40000.0,1
Phosphatic fertilisers (P),Brazil,76,False,1785.17,60.0,1
Phosphatic fertilisers (P),Zimbabwe,716,True,1000.0,2571.0,1
Phosphatic fertilisers (P),Namibia,516,True,860.28,50.0,1
Phosphatic fertilisers (P),Zambia,894,True,726.32,2500.0,1
Phosphatic fertilisers (P),Singapore,702,False,170.34,45.0,1
Phosphatic fertilisers (P),Lao People's Dem. Rep.,418,False,110.195,11.5,1
Phosphatic fertilisers (P),Cameroon,120,True,57.844,380.0,1
Phosphatic fertilisers (P),Lebanon,422,False,15.8,15.0,1
Phosphatic fertilisers (P),Canada,124,False,2.873,2.31,1
Potassic fertilisers (K),Germany,276,False,169369955.92900002,321371762.886,25
Potassic fertilisers (K),Canada,124,False,128777692.713,259595213.429,11
Potassic fertilisers (K),Jordan,400,False,90518755.99800001,182592426.80900002,14
Potassic fertilisers (K),Belgium,56,False,44381170.078,57920178.103,23
Potassic fertilisers (K),Russian Federation,643,False,38189026.427999996,93439502.497,10
Potassic fertilisers (K),Spain,724,False,30808321.668,44936259.769999996,13
Potassic fertilisers (K),Belarus,112,False,29693002.407,65023500.0,1
Potassic fertilisers (K),South Africa,710,True,28397106.53,57393905.2,19
Potassic fertilisers (K),Mauritius,480,True,27532401.099999998,34529170.0,4
Potassic fertilisers (K),Chile,152,False,27416301.046,80641672.0,7
Potassic fertilisers (K),China,156,False,21937190.172,32632277.588,26
Potassic fertilisers (K),Egypt,818,True,17851986.268,23838935.0,11
