nutrient,hs_code,importer_code,importer,source_code,source,year,value_usd,qty_kg,source_is_african
Urea (N),310210,24,Angola,76,Brazil,2023,126.33,199.0,False
Urea (N),310210,24,Angola,156,China,2023,10483523.06,10382136.89,False
Urea (N),310210,24,Angola,504,Morocco,2023,624930.65,601740.0,True
Urea (N),310210,24,Angola,516,Namibia,2023,282.87,50.0,True
Urea (N),310210,24,Angola,528,Netherlands,2023,2857.56,21030.0,False
Urea (N),310210,24,Angola,620,Portugal,2023,303374.99,338566.99,False
Urea (N),310210,24,Angola,643,Russian Federation,2023,171250.06,250000.0,False
Urea (N),310210,24,Angola,699,India,2023,97052.41,210000.0,False
Urea (N),310210,24,Angola,704,Viet Nam,2023,220581.53,300000.0,False
Urea (N),310210,24,Angola,710,South Africa,2023,205759.56,317851.0,True
Urea (N),310210,24,Angola,788,Tunisia,2023,98190.21,100600.0,True
Urea (N),310210,24,Angola,818,Egypt,2023,59350.66,84320.0,True
Urea (N),310210,72,Botswana,276,Germany,2023,18.225,4.1,False
Urea (N),310210,72,Botswana,710,South Africa,2023,721909.067,1235023.01,True
Urea (N),310210,108,Burundi,404,Kenya,2023,13209.131,27943.362,True
Urea (N),310210,108,Burundi,682,Saudi Arabia,2023,1951742.052,4128828.367,False
Urea (N),310210,108,Burundi,699,India,2023,6668.681,14107.314,False
Urea (N),310210,108,Burundi,834,United Rep. of Tanzania,2023,9932221.904,21011198.431,True
Urea (N),310210,108,Burundi,894,Zambia,2023,600.616,1270.578,True
Urea (N),310210,120,Cameroon,56,Belgium,2023,664.864,290.0,False
Urea (N),310210,120,Cameroon,246,Finland,2023,9341667.503,24799600.0,False
Urea (N),310210,120,Cameroon,251,France,2023,3022.804,1742.1,False
Urea (N),310210,120,Cameroon,434,Libya,2023,3399432.972,7695410.0,True
Urea (N),310210,120,Cameroon,458,Malaysia,2023,648388.082,616000.0,False
Urea (N),310210,120,Cameroon,566,Nigeria,2023,7287254.536,13393700.0,True
Urea (N),310210,120,Cameroon,634,Qatar,2023,2541509.361,5500000.0,False
Urea (N),310210,120,Cameroon,643,Russian Federation,2023,4090840.045,5500000.0,False
Urea (N),310210,120,Cameroon,699,India,2023,217.244,5000.0,False
Urea (N),310210,120,Cameroon,724,Spain,2023,320.056,14.0,False
Urea (N),310210,120,Cameroon,784,United Arab Emirates,2023,9973392.366,12461400.0,False
Urea (N),310210,132,Cabo Verde,620,Portugal,2023,73708.392,85124.0,False
Urea (N),310210,132,Cabo Verde,724,Spain,2023,55613.242,72670.0,False
Urea (N),310210,132,Cabo Verde,784,United Arab Emirates,2023,4616.354,3535.0,False
Urea (N),310210,178,Congo Rep,24,Angola,2023,78.381,27.0,True
Urea (N),310210,178,Congo Rep,251,France,2023,372.789,112.68,False
Urea (N),310210,178,Congo Rep,276,Germany,2023,1851.191,1200.0,False
Urea (N),310210,178,Congo Rep,699,India,2023,156590.885,172000.0,False
Urea (N),310210,178,Congo Rep,784,United Arab Emirates,2023,125533.155,134500.0,False
Urea (N),310210,178,Congo Rep,818,Egypt,2023,159250.088,231000.0,True
Urea (N),310210,180,Congo Dem Rep,12,Algeria,2023,1279421.36,1693000.0,True
Urea (N),310210,180,Congo Dem Rep,56,Belgium,2023,33728.35,55120.0,False
Urea (N),310210,180,Congo Dem Rep,156,China,2023,99369.12,335719.0,False
Urea (N),310210,180,Congo Dem Rep,508,Mozambique,2023,631949.13,615060.0,True
Urea (N),310210,180,Congo Dem Rep,643,Russian Federation,2023,21403.89,19250.0,False
Urea (N),310210,180,Congo Dem Rep,682,Saudi Arabia,2023,2102764.57,1738000.0,False
Urea (N),310210,180,Congo Dem Rep,710,South Africa,2023,4164738.04,4458270.0,True
Urea (N),310210,180,Congo Dem Rep,818,Egypt,2023,637535.88,483000.0,True
Urea (N),310210,180,Congo Dem Rep,894,Zambia,2023,1973057.09,2101890.0,True
Urea (N),310210,204,Benin,251,France,2023,86.375,109.0,False
Urea (N),310210,204,Benin,440,Lithuania,2023,2379.141,4592.0,False
Urea (N),310210,204,Benin,842,USA,2023,58144205.2,118301000.0,False
Urea (N),310210,231,Ethiopia,156,China,2023,38803859.284,50464400.4,False
Urea (N),310210,231,Ethiopia,276,Germany,2023,16052.615,20000.0,False
Urea (N),310210,231,Ethiopia,368,Iraq,2023,90165.024,215000.0,False
Urea (N),310210,231,Ethiopia,380,Italy,2023,24360.463,45000.0,False
Urea (N),310210,231,Ethiopia,404,Kenya,2023,6784.661,1250.0,True
Urea (N),310210,231,Ethiopia,512,Oman,2023,98358684.008,160646500.0,False
Urea (N),310210,231,Ethiopia,528,Netherlands,2023,112625.835,36030.0,False
Urea (N),310210,231,Ethiopia,566,Nigeria,2023,35363808.821,47543000.0,True
Urea (N),310210,231,Ethiopia,634,Qatar,2023,81264.041,93200.0,False
Urea (N),310210,231,Ethiopia,643,Russian Federation,2023,14413.798,23250.0,False
Urea (N),310210,231,Ethiopia,699,India,2023,2201.624,165.0,False
Urea (N),310210,231,Ethiopia,724,Spain,2023,13413.306,168.0,False
Urea (N),310210,231,Ethiopia,784,United Arab Emirates,2023,33790.202,28400.0,False
Urea (N),310210,231,Ethiopia,818,Egypt,2023,316210761.849,506138000.0,True
Urea (N),310210,231,Ethiopia,842,USA,2023,41.976,2.0,False
Urea (N),310210,262,Djibouti,512,Oman,2023,24305.624,47312.0,False
Urea (N),310210,266,Gabon,56,Belgium,2023,97725.733,101375.0,False
Urea (N),310210,266,Gabon,76,Brazil,2023,160.683,8.0,False
Urea (N),310210,266,Gabon,120,Cameroon,2023,57432.472,64000.0,True
Urea (N),310210,266,Gabon,156,China,2023,1164241.777,2187500.0,False
Urea (N),310210,266,Gabon,251,France,2023,1564.929,97.0,False
Urea (N),310210,266,Gabon,484,Mexico,2023,438.322,28.0,False
Urea (N),310210,266,Gabon,528,Netherlands,2023,1882.15,676.0,False
Urea (N),310210,266,Gabon,699,India,2023,2122.522,2000.0,False
Urea (N),310210,266,Gabon,784,United Arab Emirates,2023,25369.773,15017.0,False
Urea (N),310210,266,Gabon,818,Egypt,2023,158759.754,165600.0,True
Urea (N),310210,266,Gabon,899,"Areas, nes",2023,5804.983,2010.0,False
Urea (N),310210,270,Gambia,156,China,2023,6495375.118,10500246.255,False
Urea (N),310210,270,Gambia,724,Spain,2023,166.735,450.0,False
Urea (N),310210,270,Gambia,784,United Arab Emirates,2023,178.745,235.0,False
Urea (N),310210,270,Gambia,842,USA,2023,80.563,250.0,False
Urea (N),310210,288,Ghana,156,China,2023,1907784.532,3186526.6,False
Urea (N),310210,288,Ghana,251,France,2023,17866.201,19535.0,False
Urea (N),310210,288,Ghana,276,Germany,2023,2599.467,nan,False
Urea (N),310210,288,Ghana,376,Israel,2023,16440.902,17000.0,False
Urea (N),310210,288,Ghana,384,Côte d'Ivoire,2023,142977.295,120000.0,True
Urea (N),310210,288,Ghana,410,Rep. of Korea,2023,30761.719,50000.0,False
Urea (N),310210,288,Ghana,434,Libya,2023,8593401.663,20687900.0,True
Urea (N),310210,288,Ghana,458,Malaysia,2023,222730.854,198900.0,False
Urea (N),310210,288,Ghana,528,Netherlands,2023,541589.516,625750.0,False
Urea (N),310210,288,Ghana,566,Nigeria,2023,2490863.175,5000677.5,True
Urea (N),310210,288,Ghana,634,Qatar,2023,3808175.182,8800000.0,False
Urea (N),310210,288,Ghana,643,Russian Federation,2023,5642416.369,13488000.0,False
Urea (N),310210,288,Ghana,699,India,2023,981.64,68.0,False
Urea (N),310210,288,Ghana,710,South Africa,2023,3455.898,2525.0,True
Urea (N),310210,288,Ghana,757,Switzerland,2023,58784.586,52448.8,False
Urea (N),310210,288,Ghana,784,United Arab Emirates,2023,56878.285,70200.0,False
Urea (N),310210,288,Ghana,792,Türkiye,2023,36996.039,50140.0,False
Urea (N),310210,288,Ghana,818,Egypt,2023,194075.337,300000.0,True
Urea (N),310210,288,Ghana,826,United Kingdom,2023,71710.345,14004.77,False
Urea (N),310210,288,Ghana,842,USA,2023,5235.919,444.7,False
Urea (N),310210,384,Cote dIvoire,56,Belgium,2023,71.141,2.0,False
Urea (N),310210,384,Cote dIvoire,156,China,2023,4176130.995,8182726.0,False
Urea (N),310210,384,Cote dIvoire,246,Finland,2023,6071657.197,13727560.0,False
Urea (N),310210,384,Cote dIvoire,251,France,2023,25243.816,5325.0,False
Urea (N),310210,384,Cote dIvoire,276,Germany,2023,4420.724,5323.0,False
Urea (N),310210,384,Cote dIvoire,300,Greece,2023,3235.56,3324.0,False
Urea (N),310210,384,Cote dIvoire,360,Indonesia,2023,5520.903,7923.0,False
Urea (N),310210,384,Cote dIvoire,392,Japan,2023,2350.871,1200.0,False
Urea (N),310210,384,Cote dIvoire,528,Netherlands,2023,48535.943,69000.0,False
Urea (N),310210,384,Cote dIvoire,566,Nigeria,2023,7449681.396,15501220.0,True
Urea (N),310210,384,Cote dIvoire,643,Russian Federation,2023,36847034.986,71171330.0,False
Urea (N),310210,384,Cote dIvoire,699,India,2023,37852.108,10000.0,False
Urea (N),310210,384,Cote dIvoire,724,Spain,2023,4681.238,9621.0,False
Urea (N),310210,384,Cote dIvoire,784,United Arab Emirates,2023,22583.642,28207.0,False
Urea (N),310210,384,Cote dIvoire,792,Türkiye,2023,69316.912,32197.0,False
Urea (N),310210,384,Cote dIvoire,795,Turkmenistan,2023,16221.404,17614.0,False
Urea (N),310210,384,Cote dIvoire,818,Egypt,2023,24581655.766,48401000.0,True
Urea (N),310210,384,Cote dIvoire,826,United Kingdom,2023,5032.906,1794.0,False
Urea (N),310210,384,Cote dIvoire,899,"Areas, nes",2023,1800.512,319.0,False
Urea (N),310210,404,Kenya,48,Bahrain,2023,6028561.574,17100000.0,False
Urea (N),310210,404,Kenya,156,China,2023,99718.634,493413.2,False
Urea (N),310210,404,Kenya,276,Germany,2023,1630.744,683.008,False
Urea (N),310210,404,Kenya,364,Iran,2023,43970.31,100400.0,False
Urea (N),310210,404,Kenya,380,Italy,2023,585.69,725.0,False
Urea (N),310210,404,Kenya,410,Rep. of Korea,2023,28.302,12.0,False
Urea (N),310210,404,Kenya,512,Oman,2023,766466.014,1501200.0,False
Urea (N),310210,404,Kenya,528,Netherlands,2023,2251841.936,4590790.0,False
Urea (N),310210,404,Kenya,634,Qatar,2023,26743642.548,68750000.0,False
Urea (N),310210,404,Kenya,643,Russian Federation,2023,5863992.358,8656830.0,False
Urea (N),310210,404,Kenya,682,Saudi Arabia,2023,9494959.967,26500000.0,False
Urea (N),310210,404,Kenya,699,India,2023,107101.776,12782.24,False
Urea (N),310210,404,Kenya,784,United Arab Emirates,2023,25234.221,43100.0,False
Urea (N),310210,404,Kenya,792,Türkiye,2023,14439.802,20000.0,False
Urea (N),310210,404,Kenya,818,Egypt,2023,336246.772,483000.0,True
Urea (N),310210,404,Kenya,826,United Kingdom,2023,168.933,55.0,False
Urea (N),310210,426,Lesotho,710,South Africa,2023,294.931,995.0,True
Urea (N),310210,430,Liberia,156,China,2023,1918313.89,2352902.0,False
Urea (N),310210,430,Liberia,364,Iran,2023,139562.0,249000.0,False
Urea (N),310210,430,Liberia,458,Malaysia,2023,405000.0,502000.0,False
Urea (N),310210,430,Liberia,792,Türkiye,2023,137839.27,271780.0,False
Urea (N),310210,450,Madagascar,156,China,2023,5277622.027,7014000.0,False
Urea (N),310210,450,Madagascar,251,France,2023,1136.733,600.0,False
Urea (N),310210,450,Madagascar,344,"China, Hong Kong SAR",2023,119435.205,132000.0,False
Urea (N),310210,450,Madagascar,508,Mozambique,2023,263486.177,312500.0,True
Urea (N),310210,450,Madagascar,699,India,2023,13164.141,21500.0,False
Urea (N),310210,450,Madagascar,704,Viet Nam,2023,97482.412,105000.0,False
Urea (N),310210,450,Madagascar,710,South Africa,2023,135680.22,206500.0,True
Urea (N),310210,450,Madagascar,818,Egypt,2023,13110.812,21000.0,True
Urea (N),310210,454,Malawi,48,Bahrain,2023,3183283.95,6000000.0,False
Urea (N),310210,454,Malawi,156,China,2023,876003.21,1797605.0,False
Urea (N),310210,454,Malawi,360,Indonesia,2023,17899989.7,18514000.0,False
Urea (N),310210,454,Malawi,508,Mozambique,2023,2802573.46,4682500.0,True
Urea (N),310210,454,Malawi,512,Oman,2023,12838685.9,16638000.0,False
Urea (N),310210,454,Malawi,643,Russian Federation,2023,756652.01,1030000.0,False
Urea (N),310210,454,Malawi,682,Saudi Arabia,2023,25301856.6,33100000.0,False
Urea (N),310210,454,Malawi,699,India,2023,474681.47,500125.0,False
Urea (N),310210,454,Malawi,710,South Africa,2023,27592.34,32877.0,True
Urea (N),310210,454,Malawi,784,United Arab Emirates,2023,80724112.0,107888320.0,False
Urea (N),310210,454,Malawi,826,United Kingdom,2023,40.13,1.0,False
Urea (N),310210,454,Malawi,834,United Rep. of Tanzania,2023,38078.61,52500.0,True
Urea (N),310210,466,Mali,124,Canada,2023,181597.057,1101200.0,False
Urea (N),310210,466,Mali,156,China,2023,179585.175,330000.0,False
Urea (N),310210,466,Mali,246,Finland,2023,58252041.122,87354300.0,False
Urea (N),310210,466,Mali,288,Ghana,2023,30385.812,81000.0,True
Urea (N),310210,466,Mali,384,Côte d'Ivoire,2023,645827.129,1900000.0,True
Urea (N),310210,466,Mali,440,Lithuania,2023,138407.051,853000.0,False
Urea (N),310210,466,Mali,504,Morocco,2023,4981178.364,30707000.0,True
Urea (N),310210,466,Mali,566,Nigeria,2023,221679.861,1344000.0,True
Urea (N),310210,466,Mali,643,Russian Federation,2023,17802868.938,83966800.0,False
Urea (N),310210,466,Mali,686,Senegal,2023,7930363.427,23801400.0,True
Urea (N),310210,466,Mali,724,Spain,2023,52770.667,320000.0,False
Urea (N),310210,466,Mali,842,USA,2023,225891.019,546400.0,False
Urea (N),310210,478,Mauritania,686,Senegal,2023,79749.818,76000.0,True
Urea (N),310210,478,Mauritania,842,USA,2023,330405.166,581730.0,False
Urea (N),310210,480,Mauritius,56,Belgium,2023,219832.457,208000.0,False
Urea (N),310210,480,Mauritius,156,China,2023,1333127.454,602393.0,False
Urea (N),310210,480,Mauritius,251,France,2023,46530.513,57804.0,False
Urea (N),310210,480,Mauritius,380,Italy,2023,8261.957,4960.0,False
Urea (N),310210,480,Mauritius,528,Netherlands,2023,5661.754,196.0,False
Urea (N),310210,480,Mauritius,699,India,2023,6308.889,2884.0,False
Urea (N),310210,480,Mauritius,704,Viet Nam,2023,426277.13,189000.0,False
Urea (N),310210,480,Mauritius,710,South Africa,2023,171866.667,231260.0,True
Urea (N),310210,480,Mauritius,784,United Arab Emirates,2023,401000.905,460000.0,False
Urea (N),310210,480,Mauritius,818,Egypt,2023,252267.744,481302.0,True
Urea (N),310210,480,Mauritius,826,United Kingdom,2023,1589.339,761.0,False
Urea (N),310210,504,Morocco,12,Algeria,2023,185351.187,288000.0,True
Urea (N),310210,504,Morocco,56,Belgium,2023,16285.564,20990.0,False
Urea (N),310210,504,Morocco,156,China,2023,679589.664,1016100.0,False
Urea (N),310210,504,Morocco,251,France,2023,153460.713,197200.1,False
Urea (N),310210,504,Morocco,276,Germany,2023,446467.023,477064.69,False
Urea (N),310210,504,Morocco,380,Italy,2023,515.821,636.0,False
Urea (N),310210,504,Morocco,428,Latvia,2023,225625.869,349980.0,False
Urea (N),310210,504,Morocco,434,Libya,2023,4397803.059,13209500.0,True
Urea (N),310210,504,Morocco,440,Lithuania,2023,84586.012,144163.4,False
Urea (N),310210,504,Morocco,528,Netherlands,2023,62912.165,82500.001,False
Urea (N),310210,504,Morocco,620,Portugal,2023,690713.467,1278029.0,False
Urea (N),310210,504,Morocco,643,Russian Federation,2023,28852987.936,69277910.0,False
Urea (N),310210,504,Morocco,699,India,2023,96.926,10.0,False
Urea (N),310210,504,Morocco,703,Slovakia,2023,1192853.102,1463820.0,False
Urea (N),310210,504,Morocco,705,Slovenia,2023,110202.147,162000.0,False
Urea (N),310210,504,Morocco,724,Spain,2023,1498751.869,2883175.0,False
Urea (N),310210,504,Morocco,784,United Arab Emirates,2023,394.811,44.0,False
Urea (N),310210,504,Morocco,792,Türkiye,2023,378154.532,897908.5,False
