typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20100101,2010,52,2010,12,DZA,Algeria,M,Import,0,W00,World,0,W00,World,H3,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,86278928.0,False,-1,N/A,,False,86278928.0,False,,False,30578916.0,,30578916.0,0,True,False
C,A,20100101,2010,52,2010,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H3,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5875650.0,False,-1,N/A,,False,5875650.0,False,,False,3603868.0,,3603868.0,0,True,False
C,A,20100101,2010,52,2010,72,BWA,Botswana,M,Import,0,W00,World,0,W00,World,H1,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,657504.59,False,8,kg,657504.59,False,657504.59,False,0.0,False,461553.379,,461553.379,0,False,True
C,A,20100101,2010,52,2010,108,BDI,Burundi,M,Import,0,W00,World,0,W00,World,H2,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1389650.0,False,8,kg,1389650.0,False,1389650.0,False,0.0,False,679380.761,,679380.761,0,False,True
C,A,20100101,2010,52,2010,120,CMR,Cameroon,M,Import,0,W00,World,0,W00,World,H2,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38866218.0,False,-1,N/A,,False,38866218.0,False,,False,16384707.0,,16384707.0,0,True,False
C,A,20100101,2010,52,2010,132,CPV,Cabo Verde,M,Import,0,W00,World,0,W00,World,H3,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,179787.0,False,-1,N/A,,False,179787.0,False,,False,122723.0,,122723.0,0,True,False
C,A,20100101,2010,52,2010,140,CAF,Central African Rep.,M,Import,0,W00,World,0,W00,World,H3,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,481900.0,False,-1,N/A,,False,481900.0,False,,False,270386.0,,270386.0,0,True,False
C,A,20100101,2010,52,2010,178,COG,Congo,M,Import,0,W00,World,0,W00,World,H2,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,81680.0,False,-1,N/A,,False,81680.0,False,,False,43867.0,,43867.0,0,True,False
C,A,20100101,2010,52,2010,204,BEN,Benin,M,Import,0,W00,World,0,W00,World,H2,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8574880.0,False,-1,N/A,,False,8574880.0,False,,False,3416636.0,,3416636.0,0,True,False
C,A,20100101,2010,52,2010,231,ETH,Ethiopia,M,Import,0,W00,World,0,W00,World,H3,HS,True,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,188557022.0,False,8,kg,188557022.0,False,188557022.0,False,0.0,False,70682826.579,,70682826.579,0,False,True
